_id,word1,word2
1,ሀላፊ,"Dura-taa’aa, Hogganaa"
2,ሀላፊነት,Itti gaafatamummaa
3,ኃላፊነት,Itti gaafatamummaa
4,ሀሙስ,Kamisa
5,ሐሙስ,Kamisa
6,ሀሜተኛ,Hamattuu
7,ሀሜት,Hammi
8,ሐምሌ,Adoolessa
9,ሀምሳ,Shantama
10,ሐምሳ,Shantam
11,ሃምሳ,Shantama
12,ሐምራዊ,Dhiilgee
13,ሀሞት,Hadhooftuu
14,ሐሞት,Hadhowtuu
15,ሀሰት,Soba
16,ሀሣብ,Yaada
17,ሀሳብ,"Yaadaa, Yaanni"
18,ሀሳቦች,"Yaaddoowwan, Yaadoota"
19,ሀረር,Harar
20,ሀረርጌ,Haraargee
21,ሀራጅ,Haraaja
22,ሐራጅ,Araajii
23,ሀቀኝነት,Haqummaa
24,ሀቅ,Haaqa
25,ሀበሻ,Habashaa
26,ሀበሻዎች,Habashootaa
27,ኀብረት,Tokkummaa
28,ሀብታም,"Dureessa, Qabeeyyii, Sooressaa"
29,ሃብታም,Sooressa
30,ሀብታም ንብረት ያለዉ,Qabeessa
31,ሀብታሟ,Soorettiitti
32,ሀብት,Qabeenya
33,ሐብት,"Horii, Qabeenya, Qabeenyaa"
34,ሀኪም,"Haakimii, Ogeessa fayyaa, Wal’aanaa, Walaannaa"
35,ሐኪም,Hakiimii
36,ሃኪም,Hakiimii
37,ሐዋርያ,Ergamaa
38,ሐዋርያት,Ergamaa
39,ሀውልት,Siidaa
40,ሀዘን,Gadda
41,ሀዘንተኛ,Gaddaa
42,ሃያ,"Digdama, Diidam, Diigdama"
43,ሀይለኛ,Jabaa
44,ሀይል,"Humna, Humnaa"
45,ሐይል,Humna
46,ኀይል,Humna
47,ሀይማኖት,Amantii
48,ሀይማኖቶች,Amntoota
49,ሀይቅ,Haroo
50,ሐይቅ,Haroo
51,ሃይቅ,Haroo
52,ሀዲድ,Hadiida baaburaa
53,ሀገራት,Biyyota
54,ሀገር,Biyya
55,ሐገር,Biyya
56,ሃገር,Biyya
57,ሀገር አቀፍ,"Biyyaaleessa, Biyyoolessaatti"
58,ሀገሮች,Biyyonni
59,ኃጢአተኞች,Cubbamaa
60,ሐጢአት,Cubbuu
61,ሐጢአት ሰሪ,Cuuba’a
62,ሀጢያት,Cubbuu
63,ሀጥያት,Cubbuu
64,ሀፍረት,Saalfii
65,ሁለተኛ,Lamaffaa
66,ሁለቱም,"Lachanuu, Lamaanuu"
67,ሁለት,"Lama, Lamaa"
68,ሁለት ነጥብ,Tuqlamee
69,ሁለትዩሽ,Karaa lamaan
70,ሁሉ,Hundumaa
71,ሁሉም,"Cufti, Hunda, Hundinuu, Hundumaa, Hundumtuu, Hunduu"
72,ሁልጊዜ,Yeroo hundumaa
73,ሁልግዜ,Yeroo hundumaa
74,ሁነ,Ta’e
75,ሁነን,Taane
76,ሁኑዋል,"Ta’eera, Taa’ee"
77,ሁኔታ,"Akaataa, Haala, Haali, Haalii"
78,ሁኔታዎች,Haalonni
79,ሁኖ,Tahee
80,ሂሳብ,"Herreegamu, Herrega"
81,ሒሳብ,"Herrega, Shallaguu"
82,ሂደናል,Adeemneera
83,ሂደዉ,Adeemanii
84,ሂደዉ ሄዱ,Adeemanii
85,ሂዱ,"Adeemaa, Deemaa, Sokkaa"
86,ሂዱ!,Beena!
87,ሂድ,"Deemuu, Dhaqii, Sokki"
88,ሄደ,"Deeme, Sokke, Sookkee"
89,ሄደች,Sokkitee
90,ሄዱ,Dhaqan
91,ህሊና,Qalbii
92,ህልም,Abjuu
93,ሕልም,Abjuu
94,ህመም,Dhukkuba
95,ህመምተኛ,Dhukkubsataa
96,ህብረተሰብ,Hawaasa
97,ኅብረተሰብ,Hawaasa
98,ህብረት,Gamtaa
99,ሕብረት,Tokkummaa
100,ህትመት,Maxansa
101,ህንድ,Hindii
102,ህንፃ,Gamoo
103,ሕንጻ,Gamoo
104,ሕንፃ,"Gamoo, jaarmaa"
105,ሕንጻዎች,Gamoowwan
106,ህክምና,Yaalumsa
107,ሕክምና,Wal’aansa
108,ህዋ,Samii
109,ህዋሥ,Lubbiyoo
110,ህዋስ,Lubbiyoo
111,ሕዝቡ,Uummani
112,ህዝብ,Uummata
113,ሕዝብ,Ummata
114,ሕዝቦች,Saboota
115,ህይወት,Jireenya
116,ሕይወት,Jireenya
117,ህዳሴ,Haaroomsaa
118,ህዳር,Sadaasaa
119,ሕዳር,Sadaasa
120,ህገወጥ,Seera maleessa
121,ህጉ,Seerii
122,ህጋዊ,Kan seeraan deemu
123,ህጋዊነት,Seerummaa
124,ህግ,Seera
125,ሕግ,Seera
126,ህግ ፈቺ,Seerhiikaa
127,ሕግአውጪ,Seera kan basuu
128,ህጎች,Seerooni
129,ህጻናት,Daa’mani
130,ህፃናት,Daiimman
131,ሕፃናት,Da’immanii
132,ህጻን,Daa’ma
133,ህፃን,"Daa’ma, Daai’ma"
134,ሕፃን,Daaima
135,ህፍረት,Qaanii
136,ሆምጣጤ,Angaggee
137,ሆስፒታል,Hospitaala
138,ሆቴል,Hoteela
139,ሆነ,Ta’ee
140,ሆነለት,Ta’eefi
141,ሆነች,Taatee
142,ሆኑ,Ta’anii
143,ሆንን,Taanee
144,ሆኖም,Ta’us
145,ሆደ ባሻ,Laafoo
146,ሆዳም,Nyaattu
147,ሆድ,Garaa
148,ኋላ,Booda
149,ለሀይማኖት,Amantiidhaf
150,ለሀገር,Biyyaaf
151,ለሀጭ,Gorora
152,ለሐጭ,Hancufaa
153,ለሁለት,Lamaafi
154,ለሁሉም,Hundaaf
155,ለሕዝብ,Uummataaf
156,ለህፃን,Da’imaafi
157,ለሌላዉ,Kaaniifillee
158,ለልማት,Misoomaaf
159,ለልጅ,Mucayyoofi
160,ለመሄድ,"Adeemuf, Adeemuudhaaf"
161,ለመማር,Barachuuf
162,ለመረጃ,Odeeffannoofi
163,ለመሬት,Lafaaf
164,ለመርሳት,Irraanfachuuf
165,ለመሸጥ,Gurguraaf
166,ለመቅዳት,Waraabbachuuf
167,ለመቆጣጠር,"Sakatt’auuf, To’achuuf"
168,ለመብላት,Nyaachuuf
169,ለመተያየት,Walarguuf
170,ለመታመን,Amanamuufi
171,ለመታረቅ,Araaraaf
172,ለመታከም,Yaalamuufi
173,ለመታየት,Laalamuuf
174,ለመቼ,Yoomitti
175,ለመነ,Kadhate
